From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
4wp7	P00352	reviewed	AL1A1_HUMAN	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
4wpn	P00352	reviewed	AL1A1_HUMAN	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
4x4l	P00352	reviewed	AL1A1_HUMAN	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
5ac2	P00352	reviewed	AL1A1_HUMAN	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
5l2m	P00352	reviewed	AL1A1_HUMAN	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
5l2n	P00352	reviewed	AL1A1_HUMAN	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
5l2o	P00352	reviewed	AL1A1_HUMAN	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
5tei	P00352	reviewed	AL1A1_HUMAN	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
1l2i	Q61026	reviewed	NCOA2_MOUSE	Nuclear receptor coactivator 2 (NCoA-2) (Glucocorticoid receptor-interacting protein 1) (GRIP-1) (Steroid receptor coactivator 2) (SRC-2) (Transcriptional intermediary factor 2)	Ncoa2 Grip1 Src2 Tif2	Mus musculus (Mouse)	1462
1l2i	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2b1v	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2b1v	Q15596	reviewed	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
2b1z	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2b1z	Q15596	reviewed	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
2p15	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2p15	Q15596	reviewed	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
2q70	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2qr9	Q61026	reviewed	NCOA2_MOUSE	Nuclear receptor coactivator 2 (NCoA-2) (Glucocorticoid receptor-interacting protein 1) (GRIP-1) (Steroid receptor coactivator 2) (SRC-2) (Transcriptional intermediary factor 2)	Ncoa2 Grip1 Src2 Tif2	Mus musculus (Mouse)	1462
2qr9	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2qse	Q61026	reviewed	NCOA2_MOUSE	Nuclear receptor coactivator 2 (NCoA-2) (Glucocorticoid receptor-interacting protein 1) (GRIP-1) (Steroid receptor coactivator 2) (SRC-2) (Transcriptional intermediary factor 2)	Ncoa2 Grip1 Src2 Tif2	Mus musculus (Mouse)	1462
2qse	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2qzo	Q61026	reviewed	NCOA2_MOUSE	Nuclear receptor coactivator 2 (NCoA-2) (Glucocorticoid receptor-interacting protein 1) (GRIP-1) (Steroid receptor coactivator 2) (SRC-2) (Transcriptional intermediary factor 2)	Ncoa2 Grip1 Src2 Tif2	Mus musculus (Mouse)	1462
2qzo	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
4ivw	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
4ivw	Q15596	reviewed	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
4pps	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
4pps	Q15596	reviewed	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
5drj	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
5drj	Q15596	reviewed	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
5du5	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
5du5	Q15596	reviewed	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
5due	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
5due	Q15596	reviewed	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
5dzi	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
5dzi	Q15596	reviewed	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
5e1c	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
5e1c	Q15596	reviewed	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
1xp1	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
1xqc	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2ayr	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2iog	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2iok	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2ouz	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2pog	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
2r6w	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
3dt3	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
5aau	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
5fqv	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
5t92	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
5ufx	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
6b0f	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
6chw	P03372	reviewed	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
5fv7	P39748	reviewed	FEN1_HUMAN	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (DNase IV) (Flap structure-specific endonuclease 1) (Maturation factor 1) (MF1) (hFEN-1)	FEN1 RAD2	Homo sapiens (Human)	380
2v3d	P04062	reviewed	GBA1_HUMAN	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	GBA1 GBA GC GLUC	Homo sapiens (Human)	536
2v3e	P04062	reviewed	GBA1_HUMAN	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	GBA1 GBA GC GLUC	Homo sapiens (Human)	536
2xwd	P04062	reviewed	GBA1_HUMAN	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	GBA1 GBA GC GLUC	Homo sapiens (Human)	536
2xwe	P04062	reviewed	GBA1_HUMAN	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	GBA1 GBA GC GLUC	Homo sapiens (Human)	536
3rik	P04062	reviewed	GBA1_HUMAN	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	GBA1 GBA GC GLUC	Homo sapiens (Human)	536
3ril	P04062	reviewed	GBA1_HUMAN	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	GBA1 GBA GC GLUC	Homo sapiens (Human)	536
4i3k	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
4i3l	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
4umx	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
4xrx	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
4xs3	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
5de1	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
5l57	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
5l58	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
5lge	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
5sun	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
5svf	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
5tqh	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
6adg	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
6b0z	O75874	reviewed	IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
5h84	Q92830	reviewed	KAT2A_HUMAN	Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (hGCN5) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A) (STAF97)	KAT2A GCN5 GCN5L2	Homo sapiens (Human)	837
5h86	Q92830	reviewed	KAT2A_HUMAN	Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (hGCN5) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A) (STAF97)	KAT2A GCN5 GCN5L2	Homo sapiens (Human)	837
5mlj	Q92830	reviewed	KAT2A_HUMAN	Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (hGCN5) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A) (STAF97)	KAT2A GCN5 GCN5L2	Homo sapiens (Human)	837
